entry,convention,n_calls,provider,models,n_cache_traffic_calls,n_with_cache_write_measured,pct_full_residual_negative,pct_read_residual_negative,raw_api_input_includes_cached,raw_api_verified,litellm_matches_raw_api
20250720_mini-v0.0.0-Llama-4-Maverick-17B-Instruct,no_calls,0,,,,,,,,,
20250720_mini-v0.0.0-Llama-4-Scout-17B-Instruct,no_calls,0,,,,,,,,,
20250720_mini-v0.0.0-claude-3-7-sonnet-20250219,no_calls,0,,,,,,,,,
20250720_mini-v0.0.0-gpt-4o-2024-11-20,no_calls,0,,,,,,,,,
20250720_mini-v0.0.0_gpt-4.1-mini-2025-04-14,no_calls,0,,,,,,,,,
20250726_mini-v1.0.0_claude-sonnet-4-20250514,no_calls,0,,,,,,,,,
20250726_mini-v1.0.0_gemini-2.0-flash,no_calls,0,,,,,,,,,
20250726_mini-v1.0.0_gemini-2.5-flash,no_calls,0,,,,,,,,,
20250726_mini-v1.0.0_gemini-2.5-pro,no_calls,0,,,,,,,,,
20250726_mini-v1.0.0_gpt-4.1-2025-04-14,no_calls,0,,,,,,,,,
20250726_mini-v1.0.0_o3-2025-04-16,no_calls,0,,,,,,,,,
20250726_mini-v1.0.0_o4-mini-2025-04-16,no_calls,0,,,,,,,,,
20250802_mini-v1.0.0_claude-4-opus-20250514,no_calls,0,,,,,,,,,
20250802_mini-v1.0.0_qwen3-coder-480b-a35b-instruct,no_calls,0,,,,,,,,,
20250803_mini-v1.0.0_qwen2-5-coder-32b-instruct,no_calls,0,,,,,,,,,
20250807_mini-v1.7.0_gpt-5,no_calls,0,,,,,,,,,
20250807_mini-v1.7.0_gpt-5-mini,no_calls,0,,,,,,,,,
20250807_mini-v1.7.0_gpt-5-nano,no_calls,0,,,,,,,,,
20250807_mini-v1.7.0_gpt-oss-120b,no_calls,0,,,,,,,,,
20250807_mini-v1.7.0_kimi-k2-instruct,no_calls,0,,,,,,,,,
20250822_mini-v1.9.1_glm-4.5,no_calls,0,,,,,,,,,
20250929_mini-v1.13.3_sonnet-4-5-20250929,read_only_inclusive,25494,anthropic,claude-sonnet-4-20250514,25003,25494,99.78,0.0,False,True,False
20251118_mini-v1.15.0_gemini-3-pro-preview-20251118,inclusive,20163,google,gemini-3-pro-preview;google/gemini-3-pro-preview,17751,0,,0.0,True,False,True
20251120_mini-v1.15.0_gpt-5.1-2025-11-13,inclusive,10500,openai,gpt-5.1-2025-11-13,8679,10500,0.0,0.0,True,True,True
20251124_mini-v1.16.0_claude-opus-4-5-20251101,read_only_inclusive,19021,anthropic,claude-opus-4-5-20251101,16878,19021,99.99,0.0,False,True,False
20251124_mini-v1.16.0_gpt-5.1-codex,undetermined,11941,openai,gpt-5.1-codex,0,0,,,True,True,
20251124_mini-v1.17.0_minimax-m2,undetermined,37069,minimax,minimax/minimax-m2,0,0,,,,False,
20251201_mini-v1.17.1_deepseek-v3.2-reasoner,inclusive,23202,deepseek,deepseek-reasoner,23202,0,,0.0,,False,
20251201_mini-v1.17.1_glm-4.6,inclusive,24674,zhipu,glm-4.6,24642,0,,0.0,,False,
20251209_mini-v1.17.2_devstral-2512,undetermined,37543,mistral,devstral-2512,0,0,,,,False,
20251209_mini-v1.17.2_devstral-small-2512,undetermined,43433,mistral,labs-devstral-small-2512,0,0,,,,False,
20251210_mini-v1.17.2_kimi-k2-thinking,undetermined,23410,moonshot,moonshot/kimi-k2-thinking,0,0,,,,False,
20251211_mini-v1.17.2_gpt-5.2-2025-12-11,inclusive,8135,openai,gpt-5.2-2025-12-11,3831,8135,0.0,0.0,True,True,True
20251211_mini-v1.17.2_gpt-5.2-2025-12-11-high,inclusive,9881,openai,gpt-5.2-2025-12-11,5015,9881,0.0,0.0,True,True,True
20260217_mini-v2.0.0_claude-4-5-haiku-high,inclusive,33059,anthropic,claude-haiku-4-5-20251001,30849,33059,0.0,0.0,False,True,False
20260217_mini-v2.0.0_claude-4-5-opus-high,inclusive,16446,anthropic,claude-opus-4-5-20251101,15008,16446,0.0,0.0,False,True,False
20260217_mini-v2.0.0_claude-4-5-sonnet-high,inclusive,24143,anthropic,claude-sonnet-4-5-20250929,23637,24143,0.0,0.0,False,True,False
20260217_mini-v2.0.0_claude-4-6-opus,inclusive,14466,anthropic,claude-opus-4-6,11978,14466,0.0,0.0,False,True,False
20260217_mini-v2.0.0_deepseek-3-2-high,inclusive,43683,deepseek,deepseek/deepseek-v3.2,33156,0,,0.0,,False,
20260217_mini-v2.0.0_gemini-3-flash-high,inclusive,28054,google,gemini-3-flash-preview,19436,0,,0.0,True,False,True
20260217_mini-v2.0.0_glm-5-high,inclusive,38013,zhipu,z-ai/glm-5,36276,0,,0.0,,False,
20260217_mini-v2.0.0_gpt-5-2-high,inclusive,17520,openai,gpt-5.2-2025-12-11,14424,17520,0.0,0.0,True,True,True
20260217_mini-v2.0.0_gpt-5-mini,inclusive,10054,openai,gpt-5-mini-2025-08-07,4806,10054,0.0,0.0,True,True,True
20260217_mini-v2.0.0_kimi-k2-5-high,inclusive,24687,moonshot,moonshotai/kimi-k2.5,21921,0,,0.0,,False,
20260217_mini-v2.0.0_minimax-2-5-high,inclusive,30219,minimax,minimax/minimax-m2.5,28640,0,,0.0,,False,
20260219_mini-v2.0.0_gpt-5-2-codex,inclusive,17520,openai,gpt-5.2-2025-12-11,14424,17520,0.0,0.0,True,True,True
20260226_mini-v2.0.0_gemini-3-pro-high,inclusive,25628,google,gemini-3-pro-preview,19214,0,,0.0,True,False,True
20260901_mini-v2.4.2_gemini-3-5-flash,inclusive,19514,google,gemini-3-5-flash-fair,15889,0,,0.0,True,False,True
