entry,model,mini_version,total_cost_observed,n_resolved_observed,n_resolved_priced,n_unresolved_priced,total_spend_per_resolved_instance,cost_per_resolved_instance,cost_per_unresolved_instance,unresolved_resolved_cost_ratio,n_resolved_calls_measured,calls_per_resolved_instance
20250720_mini-v0.0.0-Llama-4-Maverick-17B-Instruct,llama-4-maverick-instruct,0.0.0,156.85304880000004,105,105,395,1.4938385600000004,0.04324612857142825,0.3856005197468356,8.916417087137674,105,228.93333333333334
20250720_mini-v0.0.0-claude-3-7-sonnet-20250219,claude-3-7-sonnet-20250219,0.0.0,177.30772409999986,51,51,449,3.476622041176468,0.20327858529411763,0.37180515868596853,1.8290424352767651,51,340.19607843137254
20250726_mini-v1.0.0_claude-sonnet-4-20250514,claude-4-sonnet-20250514,1.0.0,185.7265839000001,324,324,176,0.5732301972222225,0.32008754074074114,0.4660126176136361,1.4558911494499212,324,57.364197530864196
20250726_mini-v1.0.0_gemini-2.5-pro,gemini-2.5-pro,1.0.0,144.1860478125,268,268,232,0.5380076410914179,0.19682665228544768,0.3941228663793104,2.002385661712795,268,38.20522388059702
20250726_mini-v1.0.0_o3-2025-04-16,o3-20250416,1.0.0,166.826374,292,292,208,0.5713231986301369,0.2558145342465755,0.4429256249999997,1.7314326033292182,292,42.29109589041096
20250726_mini-v1.0.0_o4-mini-2025-04-16,o4-mini-20250416,1.0.0,104.98666640000002,225,225,275,0.4666074062222223,0.13219116044444465,0.2736132919999999,2.069830471871756,225,51.72888888888889
20250802_mini-v1.0.0_claude-4-opus-20250514,claude-4-opus-20250514,1.0.0,565.6352234999996,338,338,162,1.673476992603549,0.9612845480769221,1.4859323842592587,1.5457778731926046,338,45.97041420118343
20250802_mini-v1.0.0_qwen3-coder-480b-a35b-instruct,Qwen3-Coder-480B-A35B-Instruct,1.0.0,123.96355400000004,277,277,223,0.44752185559566804,0.13943844620938645,0.3826865668161435,2.74448387241411,277,116.95306859205776
20250803_mini-v1.0.0_qwen2-5-coder-32b-instruct,Qwen2.5-Coder-32B-Instruct,1.0.0,34.05807033000002,45,45,455,0.7568460073333338,0.010755817333333242,0.07378913967032973,6.860393532498043,45,535.6222222222223
20250807_mini-v1.7.0_gpt-5,gpt-5-2025-08-07,1.7.0,140.19150875,325,325,175,0.43135848846153846,0.219419166923077,0.393601597142857,1.7938341607178012,325,20.32
