entry,reported,computed,delta,delta_rel,n_cost_missing
20260217_mini-v2.0.0_gpt-5-mini,23.600609549999998,23.60060954999995,4.618527782440651e-14,1.956952752705767e-15,0
20260217_mini-v2.0.0_gemini-3-flash-high,177.98206539999998,177.98206540000024,-2.5579538487363607e-13,-1.4371975305419514e-15,0
20250822_mini-v1.9.1_glm-4.5,148.5951744,148.59517440000016,-1.7053025658242404e-13,-1.1476163830420058e-15,0
20260217_mini-v2.0.0_deepseek-3-2-high,223.92324825,223.92324824999974,2.5579538487363607e-13,1.1423350941571386e-15,0
20251211_mini-v1.17.2_gpt-5.2-2025-12-11,134.8337487,134.83374870000014,-1.4210854715202004e-13,-1.053953839614785e-15,0
20250803_mini-v1.0.0_qwen2-5-coder-32b-instruct,34.05807032999999,34.05807033000002,-2.842170943040401e-14,-8.345073327706647e-16,0
20250720_mini-v0.0.0-claude-3-7-sonnet-20250219,177.3077241,177.30772409999986,1.4210854715202004e-13,8.014797317677602e-16,0
20260217_mini-v2.0.0_kimi-k2-5-high,73.276870372,73.27687037200006,-5.684341886080802e-14,-7.757348065253697e-16,0
20260217_mini-v2.0.0_claude-4-5-opus-high,376.9539985,376.9539984999997,2.8421709430404007e-13,7.539834978140975e-16,0
20260217_mini-v2.0.0_claude-4-5-sonnet-high,328.9482492,328.94824920000025,-2.2737367544323206e-13,-6.912141225746097e-16,0
20251210_mini-v1.17.2_kimi-k2-thinking,219.15361769999998,219.15361769999984,1.4210854715202004e-13,6.484426250565155e-16,0
20260217_mini-v2.0.0_glm-5-high,267.19456811,267.19456811000015,-1.7053025658242404e-13,-6.382250125392493e-16,0
20251124_mini-v1.16.0_claude-opus-4-5-20251101,360.6224985,360.6224984999998,2.2737367544323206e-13,6.305033002349742e-16,0
20250807_mini-v1.7.0_gpt-oss-120b,28.559527899999996,28.559527900000013,-1.7763568394002505e-14,-6.219839647280202e-16,0
20250802_mini-v1.0.0_claude-4-opus-20250514,565.6352234999999,565.6352234999996,3.410605131648481e-13,6.029690142959213e-16,0
20251124_mini-v1.16.0_gpt-5.1-codex,294.44117500000004,294.4411749999999,1.7053025658242404e-13,5.791657929038763e-16,0
20251120_mini-v1.15.0_gpt-5.1-2025-11-13,153.07773625000002,153.07773624999993,8.526512829121202e-14,5.570054168553986e-16,0
20251118_mini-v1.15.0_gemini-3-pro-preview-20251118,229.978759475,229.97875947500012,-1.1368683772161603e-13,-4.943362507961281e-16,0
20250726_mini-v1.0.0_claude-sonnet-4-20250514,185.7265839,185.7265839000001,-8.526512829121202e-14,-4.590895202009474e-16,0
20251201_mini-v1.17.1_glm-4.6,48.3050376,48.30503760000002,-2.1316282072803006e-14,-4.4128486658714466e-16,0
20251211_mini-v1.17.2_gpt-5.2-2025-12-11-high,260.1295018,260.1295017999999,1.1368683772161603e-13,4.3703938590181096e-16,0
20260217_mini-v2.0.0_minimax-2-5-high,36.644993922,36.64499392200001,-1.4210854715202004e-14,-3.8779798259621074e-16,0
20250720_mini-v0.0.0-Llama-4-Maverick-17B-Instruct,156.85304879999998,156.85304880000004,-5.684341886080802e-14,-3.623991965453465e-16,0
20250802_mini-v1.0.0_qwen3-coder-480b-a35b-instruct,123.963554,123.96355400000004,-4.263256414560601e-14,-3.439120835919726e-16,0
20260217_mini-v2.0.0_claude-4-5-haiku-high,165.46221805000002,165.46221804999996,5.684341886080802e-14,3.4354319391288984e-16,0
20260217_mini-v2.0.0_gpt-5-2-high,236.78350885,236.78350884999995,5.684341886080802e-14,2.4006494006648815e-16,0
20250929_mini-v1.13.3_sonnet-4-5-20250929,279.16737045,279.1673704500001,-5.684341886080802e-14,-2.036177034915651e-16,0
20250807_mini-v1.7.0_gpt-5-mini,17.73853365,17.738533649999997,3.552713678800501e-15,2.0028226396269799e-16,0
20250726_mini-v1.0.0_gemini-2.5-pro,144.18604781250002,144.1860478125,2.842170943040401e-14,1.971183055614624e-16,0
20250726_mini-v1.0.0_o4-mini-2025-04-16,104.9866664,104.98666640000002,-1.4210854715202004e-14,-1.3535866222343453e-16,0
20251124_mini-v1.17.0_minimax-m2,214.128088645,214.12808864500002,-2.842170943040401e-14,-1.3273228005842787e-16,0
20251201_mini-v1.17.1_deepseek-v3.2-reasoner,14.0381514,14.038151399999999,1.7763568394002505e-15,1.265378032181823e-16,0
20260226_mini-v2.0.0_gemini-3-pro-high,480.0099282,480.00992819999993,5.684341886080802e-14,1.1842133989596097e-16,0
20250726_mini-v1.0.0_o3-2025-04-16,166.826374,166.826374,0.0,0.0,0
20250807_mini-v1.7.0_gpt-5,140.19150875,140.19150875,0.0,0.0,0
20250807_mini-v1.7.0_gpt-5-nano,19.037590390000002,19.037590390000002,0.0,0.0,0
20250807_mini-v1.7.0_kimi-k2-instruct,265.796683,265.796683,0.0,0.0,0
20251209_mini-v1.17.2_devstral-2512,,338.00356479999977,,,0
20251209_mini-v1.17.2_devstral-small-2512,,119.0151655,,,0
20260217_mini-v2.0.0_claude-4-6-opus,275.76132225,275.76132225,0.0,0.0,0
20260901_mini-v2.4.2_gemini-3-5-flash,,0.0,,,441
