entry,n_observed,n_no_gen_no_traj,n_cost_missing,n_missing_traj_has_patch,n_observed_no_patch,n_resolved_observed,n_resolved_priced,n_unresolved_priced,total_cost_observed,unresolved_cost_observed,waste_lower,waste_upper,waste_upper_p50,total_spend_per_resolved_instance,cost_per_resolved_instance,cost_per_unresolved_instance,unresolved_resolved_cost_ratio,n_resolved_calls_measured,calls_per_resolved_instance
20250720_mini-v0.0.0-Llama-4-Maverick-17B-Instruct,500,0,0,0,,105,105,395,156.85304880000004,152.31220530000007,0.9710503331956913,0.9710503331956913,0.9710503331956913,1.4938385600000004,0.04324612857142825,0.3856005197468356,8.916417087137674,105,228.93333333333334
20250720_mini-v0.0.0-claude-3-7-sonnet-20250219,500,0,0,0,,51,51,449,177.30772409999986,166.94051624999986,0.9415298577508502,0.9415298577508502,0.9415298577508502,3.476622041176468,0.20327858529411763,0.37180515868596853,1.8290424352767651,51,340.19607843137254
20250726_mini-v1.0.0_claude-sonnet-4-20250514,500,0,0,0,,324,324,176,185.7265839000001,82.01822069999996,0.4416073293210446,0.4416073293210446,0.4416073293210446,0.5732301972222225,0.32008754074074114,0.4660126176136361,1.4558911494499212,324,57.364197530864196
20250726_mini-v1.0.0_gemini-2.5-pro,500,0,0,0,,268,268,232,144.1860478125,91.43650500000001,0.6341563999236899,0.6341563999236899,0.6341563999236899,0.5380076410914179,0.19682665228544768,0.3941228663793104,2.002385661712795,268,38.20522388059702
20250726_mini-v1.0.0_o3-2025-04-16,500,0,0,0,,292,292,208,166.826374,92.12852999999994,0.5522419974194245,0.5522419974194245,0.5522419974194245,0.5713231986301369,0.2558145342465755,0.4429256249999997,1.7314326033292182,292,42.29109589041096
20250726_mini-v1.0.0_o4-mini-2025-04-16,500,0,0,0,,225,225,275,104.98666640000002,75.24365529999997,0.7166972519474145,0.7166972519474145,0.7166972519474145,0.4666074062222223,0.13219116044444465,0.2736132919999999,2.069830471871756,225,51.72888888888889
20250802_mini-v1.0.0_claude-4-opus-20250514,500,0,0,0,,338,338,162,565.6352234999996,240.72104624999992,0.42557647800022497,0.42557647800022497,0.42557647800022497,1.673476992603549,0.9612845480769221,1.4859323842592587,1.5457778731926046,338,45.97041420118343
20250802_mini-v1.0.0_qwen3-coder-480b-a35b-instruct,500,0,0,0,,277,277,223,123.96355400000004,85.3391044,0.6884209241048378,0.6884209241048378,0.6884209241048378,0.44752185559566804,0.13943844620938645,0.3826865668161435,2.74448387241411,277,116.95306859205776
20250803_mini-v1.0.0_qwen2-5-coder-32b-instruct,500,0,0,0,,45,45,455,34.05807033000002,33.574058550000025,0.9857886317307397,0.9857886317307397,0.9857886317307397,0.7568460073333338,0.010755817333333242,0.07378913967032973,6.860393532498043,45,535.6222222222223
20250807_mini-v1.7.0_gpt-5,500,0,0,0,,325,325,175,140.19150875,68.88027949999997,0.4913298966118729,0.4913298966118729,0.4913298966118729,0.43135848846153846,0.219419166923077,0.393601597142857,1.7938341607178012,325,20.32
20250807_mini-v1.7.0_gpt-5-mini,500,0,0,0,,299,299,201,17.738533649999997,9.240949400000003,0.5209533990990289,0.5209533990990289,0.5209533990990289,0.05932619949832775,0.0284200142140468,0.04597487263681594,1.6176935131190935,299,24.190635451505017
20250807_mini-v1.7.0_gpt-5-nano,500,0,0,0,,174,174,326,19.037590390000002,16.619349539999998,0.8729754763885325,0.8729754763885325,0.8729754763885325,0.10941143902298851,0.013897935919540251,0.05097959981595091,3.668141809768636,174,114.25287356321839
20250807_mini-v1.7.0_gpt-oss-120b,500,0,0,0,,130,130,370,28.559527900000013,24.1424784,0.8453388474954444,0.8453388474954444,0.8453388474954444,0.21968867615384627,0.03397730384615394,0.06524994162162162,1.920397860791641,130,106.14615384615385
20250807_mini-v1.7.0_kimi-k2-instruct,500,0,0,0,,219,219,281,265.796683,196.65514000000005,0.739870557376369,0.739870557376369,0.739870557376369,1.2136834840182646,0.31571480821917774,0.6998403558718863,2.216685241403179,219,85.662100456621
20250822_mini-v1.9.1_glm-4.5,500,0,0,0,,271,271,229,148.59517440000016,91.73513680000003,0.6173493666292298,0.6173493666292298,0.6173493666292298,0.5483216767527681,0.20981563690036947,0.40059011703056785,1.9092481520850004,271,74.2140221402214
20250929_mini-v1.13.3_sonnet-4-5-20250929,500,0,0,0,,353,353,147,279.1673704500001,101.04330345000002,0.36194524914256504,0.36194524914256504,0.36194524914256504,0.790842409206799,0.5046007563739379,0.6873694112244899,1.362204480555931,353,72.22096317280453
20251118_mini-v1.15.0_gemini-3-pro-preview-20251118,500,0,0,0,,371,371,129,229.97875947500012,77.86781567500003,0.3385869888713121,0.3385869888713121,0.3385869888713121,0.6198888395552564,0.4100025439353102,0.6036264781007754,1.4722505677818793,371,54.34770889487871
20251120_mini-v1.15.0_gpt-5.1-2025-11-13,500,0,0,0,,330,330,170,153.07773624999993,80.558819,0.5262608461130809,0.5262608461130809,0.5262608461130809,0.4638719280303028,0.2197542946969695,0.47387540588235294,2.1563874623510957,330,31.818181818181817
20251124_mini-v1.16.0_claude-opus-4-5-20251101,500,0,0,0,,372,372,128,360.6224984999998,125.89410800000003,0.34910220112071044,0.34910220112071044,0.34910220112071044,0.9694153185483865,0.6309902970430101,0.9835477187500002,1.5587366768699435,372,51.13172043010753
20251124_mini-v1.16.0_gpt-5.1-codex,500,0,0,0,,330,330,170,294.4411749999999,172.43119999999996,0.5856218988393863,0.5856218988393863,0.5856218988393863,0.8922459848484845,0.3697271969696967,1.014301176470588,2.7433772380929864,330,36.18484848484849
