mini_version,n_observed,n_no_gen_no_traj,n_cost_missing,n_missing_traj_has_patch,n_observed_no_patch,n_resolved_observed,n_resolved_priced,n_unresolved_priced,total_cost_observed,unresolved_cost_observed,waste_lower,waste_upper,waste_upper_p50,total_spend_per_resolved_instance,cost_per_resolved_instance,cost_per_unresolved_instance,unresolved_resolved_cost_ratio,n_resolved_calls_measured,calls_per_resolved_instance
0.0.0,1000,0,0,0,,156,156,844,334.16077289999987,319.25272154999993,0.9553865906502997,0.9553865906502997,0.9553865906502997,2.1420562365384606,0.09556443173076883,0.37826151842417055,3.958183097764206,156,265.3076923076923
1.0.0,3500,0,0,0,,1769,1769,1731,1325.3825199424998,700.4611201999999,0.5284973278736078,0.5284973278736078,0.5284973278736078,0.7492269756599773,0.35326252105285466,0.4046569151935297,1.1454849894279768,1769,70.57659694742793
1.13.3,500,0,0,0,,353,353,147,279.1673704500001,101.04330345000002,0.36194524914256504,0.36194524914256504,0.36194524914256504,0.790842409206799,0.5046007563739379,0.6873694112244899,1.362204480555931,353,72.22096317280453
1.15.0,1000,0,0,0,,701,701,299,383.05649572500005,158.42663467500003,0.4135855583786681,0.4135855583786681,0.4135855583786681,0.5464429325606277,0.32044202717546366,0.5298549654682275,1.653512712232644,701,43.74179743223966
1.16.0,1000,0,0,0,,702,702,298,655.0636734999996,298.325308,0.45541421401991417,0.45541421401991417,0.45541421401991417,0.9331391360398854,0.5081743098290592,1.0010916375838927,1.9699768725432858,702,44.105413105413106
1.17.0,500,0,0,0,,305,305,195,214.12808864500002,127.7011065299999,0.5963771840401275,0.5963771840401275,0.5963771840401275,0.702059307032787,0.2833671544754102,0.6548774693846149,2.3110563770066133,305,121.53770491803279
1.17.1,1000,0,0,0,,577,577,423,62.34318900000002,34.97980882,0.5610846891390171,0.5610846891390171,0.5610846891390171,0.10804712131715774,0.047423535840554615,0.08269458349881798,1.7437456324819425,577,82.97400346620451
1.17.2,2500,0,0,0,,1572,1572,928,1071.1355984999996,558.9106097,0.5217925820808207,0.5217925820808207,0.5217925820808207,0.6813839685114501,0.3258428681933839,0.6022743639008621,1.8483582815242692,1572,77.86386768447836
1.7.0,2500,0,0,0,,1147,1147,1353,471.32384369,315.53819684,0.6694721709168111,0.6694721709168111,0.6694721709168111,0.4109187826416739,0.13582009315605928,0.23321374489283075,1.7170783753245165,1147,57.78204010462075
1.9.1,500,0,0,0,,271,271,229,148.59517440000016,91.73513680000003,0.6173493666292298,0.6173493666292298,0.6173493666292298,0.5483216767527681,0.20981563690036947,0.40059011703056785,1.9092481520850004,271,74.2140221402214
2.0.0,6000,0,0,0,,3923,3923,2077,2666.541580654,1317.768879882,0.4941865108883102,0.4941865108883102,0.4941865108883102,0.6797200052648483,0.3438115474820291,0.6344578140982186,1.8453650517115963,3923,78.43334183023197
2.4.2,441,59,441,0,,359,0,0,0.0,0.0,,,,,,,,359,54.35933147632312
