model,n_observed,n_no_gen_no_traj,n_cost_missing,n_missing_traj_has_patch,n_observed_no_patch,n_resolved_observed,n_resolved_priced,n_unresolved_priced,total_cost_observed,unresolved_cost_observed,waste_lower,waste_upper,waste_upper_p50,total_spend_per_resolved_instance,cost_per_resolved_instance,cost_per_unresolved_instance,unresolved_resolved_cost_ratio,n_resolved_calls_measured,calls_per_resolved_instance
GLM-4.5,500,0,0,0,,271,271,229,148.59517440000016,91.73513680000003,0.6173493666292298,0.6173493666292298,0.6173493666292298,0.5483216767527681,0.20981563690036947,0.40059011703056785,1.9092481520850004,271,74.2140221402214
Kimi-K2-Instruct,500,0,0,0,,219,219,281,265.796683,196.65514000000005,0.739870557376369,0.739870557376369,0.739870557376369,1.2136834840182646,0.31571480821917774,0.6998403558718863,2.216685241403179,219,85.662100456621
Kimi-K2-Thinking,500,0,0,0,,317,317,183,219.15361769999984,121.88964880000002,0.556183603443203,0.556183603443203,0.556183603443203,0.6913363334384853,0.3068264003154569,0.6660636546448089,2.1708159857170375,317,73.84858044164038
Qwen2.5-Coder-32B-Instruct,500,0,0,0,,45,45,455,34.05807033000002,33.574058550000025,0.9857886317307397,0.9857886317307397,0.9857886317307397,0.7568460073333338,0.010755817333333242,0.07378913967032973,6.860393532498043,45,535.6222222222223
Qwen3-Coder-480B-A35B-Instruct,500,0,0,0,,277,277,223,123.96355400000004,85.3391044,0.6884209241048378,0.6884209241048378,0.6884209241048378,0.44752185559566804,0.13943844620938645,0.3826865668161435,2.74448387241411,277,116.95306859205776
claude-3-7-sonnet-20250219,500,0,0,0,,51,51,449,177.30772409999986,166.94051624999986,0.9415298577508502,0.9415298577508502,0.9415298577508502,3.476622041176468,0.20327858529411763,0.37180515868596853,1.8290424352767651,51,340.19607843137254
claude-4-5-opus,500,0,0,0,,384,384,116,376.9539984999997,134.7203035,0.3573918940668833,0.3573918940668833,0.3573918940668833,0.981651037760416,0.6308169140624993,1.1613819267241379,1.8410760726829083,384,42.833333333333336
claude-4-opus-20250514,500,0,0,0,,338,338,162,565.6352234999996,240.72104624999992,0.42557647800022497,0.42557647800022497,0.42557647800022497,1.673476992603549,0.9612845480769221,1.4859323842592587,1.5457778731926046,338,45.97041420118343
claude-4-sonnet-20250514,500,0,0,0,,324,324,176,185.7265839000001,82.01822069999996,0.4416073293210446,0.4416073293210446,0.4416073293210446,0.5732301972222225,0.32008754074074114,0.4660126176136361,1.4558911494499212,324,57.364197530864196
claude-haiku-4-5-20251001,500,0,0,0,,333,333,167,165.46221804999996,73.63906170000004,0.44505061377666005,0.44505061377666005,0.44505061377666005,0.49688353768768756,0.275745214264264,0.4409524652694613,1.5991300753704787,333,99.33033033033033
