entry,mini_version,submission_date,litellm_sha,litellm_keys,curated_rows,convention,n_calls,n_priced,n_unknown_model,n_cache_write_unknown,computed,r_conv,r_full,d_conv,d_conv_rel,computed_price_source,long_context_dollars,d_price,d_price_rel,staleness_status,n_long_context_calls,long_context_dollar_share,r_conv_reasoning_additive_delta,duplicate_of
20250929_mini-v1.13.3_sonnet-4-5-20250929,1.13.3,2025-09-29,05955042d57f,claude-sonnet-4-20250514,curated:claude-sonnet-4-20250514,read_only_inclusive,25494,25494,0,0,279.1673704500001,279.1673704499993,279.1673704499993,7.958078640513122e-13,2.8506478488819106e-15,litellm_table,0.0,0.0,0.0,ok,0,0.0,0.0,
20251118_mini-v1.15.0_gemini-3-pro-preview-20251118,1.15.0,2025-11-18,9ec31bdd5b6c,gemini/gemini-3-pro-preview,curated:gemini-3-pro-preview,inclusive,20163,20163,0,20163,229.97875947500012,261.8541747499984,230.4593276000002,-31.87541527499826,-0.1386015619345198,litellm_table,0.0,31.394847149998185,0.11989439228903635,ok,0,0.0,0.04256399999999999,
20251120_mini-v1.15.0_gpt-5.1-2025-11-13,1.15.0,2025-11-20,c3143e388e30,gpt-5.1-2025-11-13,curated:gpt-5.1-2025-11-13,inclusive,10500,10500,0,0,153.07773624999993,153.07773624999976,153.07773624999976,1.7053025658242404e-13,1.114010833710798e-15,litellm_table,0.0,0.0,0.0,ok,0,0.0,0.0,
20251124_mini-v1.16.0_claude-opus-4-5-20251101,1.16.0,2025-11-24,a807fe4450b1,claude-opus-4-5-20251101,curated:claude-opus-4-5-20251101,read_only_inclusive,19021,19021,0,0,360.6224984999998,360.6224985,360.6224985,-2.2737367544323206e-13,-6.305033002349746e-16,litellm_table,0.0,0.0,0.0,ok,0,0.0,0.0,
20251124_mini-v1.16.0_gpt-5.1-codex,1.16.0,2025-11-24,a807fe4450b1,gpt-5.1-codex,,undetermined,11941,0,0,0,294.4411749999999,,,,,litellm_table,0.0,,,usage_fields_unknown,0,,0.0,
20251124_mini-v1.17.0_minimax-m2,1.17.0,2025-11-24,a807fe4450b1,,,undetermined,37069,0,37069,0,214.12808864500002,,,,,litellm_table,0.0,,,no_litellm_row_at_pin,0,,0.0,
20251201_mini-v1.17.1_deepseek-v3.2-reasoner,1.17.1,2025-12-01,f434ca61ec0c,deepseek/deepseek-reasoner,,inclusive,23202,23202,0,23202,14.038151399999999,232.3283085999984,,-218.2901571999984,-15.549779381920501,litellm_table,0.0,,,curated_row_missing_or_null,0,0.0,0.0,
20251201_mini-v1.17.1_glm-4.6,1.17.1,2025-12-01,f434ca61ec0c,,,inclusive,24674,0,24674,0,48.30503760000002,,,,,custom_registry:/home/klieret/litellm_model_registry.json,0.0,,,no_litellm_row_at_pin,0,,0.0,
20251209_mini-v1.17.2_devstral-2512,1.17.2,2025-12-09,b673177b22c3,,,undetermined,37543,0,37543,0,338.00356479999977,,,,,custom_registry:/home/klieret/litellm_model_registry.json,0.0,,,no_litellm_row_at_pin,0,,0.0,
20251209_mini-v1.17.2_devstral-small-2512,1.17.2,2025-12-09,b673177b22c3,,,undetermined,43433,0,43433,0,119.0151655,,,,,custom_registry:/home/klieret/litellm_model_registry.json,0.0,,,no_litellm_row_at_pin,0,,0.0,
20251210_mini-v1.17.2_kimi-k2-thinking,1.17.2,2025-12-10,ad45fc7cce2e,moonshot/kimi-k2-thinking,,undetermined,23410,23410,0,23410,219.15361769999984,219.1536176999999,,-5.684341886080802e-14,-2.5937705002260636e-16,litellm_table,0.0,,,curated_row_missing_or_null,0,0.0,0.0,
20251211_mini-v1.17.2_gpt-5.2-2025-12-11,1.17.2,2025-12-11,1d85242877b3,gpt-5.2-2025-12-11,curated:gpt-5.2-2025-12-11,inclusive,8135,8135,0,0,134.83374870000014,152.78884669999962,152.78884669999962,-17.95509799999948,-0.13316471709133354,litellm_table,0.0,0.0,0.0,ok,0,0.0,0.0,
20251211_mini-v1.17.2_gpt-5.2-2025-12-11-high,1.17.2,2025-12-11,1d85242877b3,gpt-5.2-2025-12-11,curated:gpt-5.2-2025-12-11,inclusive,9881,9881,0,0,260.1295017999999,282.5496338000013,282.5496338000013,-22.420132000001388,-0.08618834789926698,litellm_table,0.0,0.0,0.0,ok,0,0.0,0.0,
20260217_mini-v2.0.0_claude-4-5-haiku-high,2.0.0,2026-02-17,c7fbab454966,claude-haiku-4-5-20251001,curated:claude-haiku-4-5-20251001,inclusive,33059,33059,0,0,165.46221804999996,165.46221804999954,165.46221804999954,4.263256414560601e-13,2.5765739543466745e-15,litellm_table,0.0,0.0,0.0,ok,0,0.0,0.0,
20260217_mini-v2.0.0_claude-4-5-opus-high,2.0.0,2026-02-17,c7fbab454966,claude-opus-4-5-20251101,curated:claude-opus-4-5-20251101,inclusive,16446,16446,0,0,376.9539984999997,376.9539984999996,376.9539984999996,1.1368683772161603e-13,3.015933991256392e-16,litellm_table,0.0,0.0,0.0,ok,0,0.0,0.0,
20260217_mini-v2.0.0_claude-4-5-sonnet-high,2.0.0,2026-02-17,c7fbab454966,claude-sonnet-4-5-20250929,curated:claude-sonnet-4-5-20250929,inclusive,24143,24143,0,0,328.94824920000025,328.94824919999996,328.94824919999996,2.8421709430404007e-13,8.640176532182615e-16,litellm_table,0.0,0.0,0.0,ok,0,0.0,0.0,
20260217_mini-v2.0.0_claude-4-6-opus,2.0.0,2026-02-17,c7fbab454966,claude-opus-4-6,curated:claude-opus-4-6,inclusive,14466,14466,0,0,275.76132225,275.76132224999935,275.76132224999935,6.252776074688882e-13,2.2674594187723806e-15,litellm_table,0.0,0.0,0.0,ok,0,0.0,0.0,
20260217_mini-v2.0.0_deepseek-3-2-high,2.0.0,2026-02-17,c7fbab454966,deepseek/deepseek-v3.2,,inclusive,43683,43683,0,43683,223.92324824999974,335.1413432000027,,-111.21809495000298,-0.49667953559620226,litellm_table,0.0,,,curated_row_missing_or_null,0,0.0,3.1764455999996075,
20260217_mini-v2.0.0_gemini-3-flash-high,2.0.0,2026-02-17,c7fbab454966,gemini/gemini-3-flash-preview,curated:gemini-3-flash-preview,inclusive,28054,28054,0,28054,177.98206540000024,177.98206539999995,177.98206539999995,2.8421709430404007e-13,1.5968861450466103e-15,litellm_table,0.0,0.0,0.0,ok,0,0.0,0.0,
20260217_mini-v2.0.0_glm-5-high,2.0.0,2026-02-17,c7fbab454966,,,inclusive,38013,0,38013,0,267.19456811000015,,,,,cost_tracking=ignore_errors; model absent from litellm table at pin,0.0,,,no_litellm_row_at_pin,0,,0.0,
20260217_mini-v2.0.0_gpt-5-2-high,2.0.0,2026-02-17,c7fbab454966,gpt-5.2-2025-12-11,curated:gpt-5.2-2025-12-11,inclusive,17520,17520,0,0,236.78350884999995,236.78350885000086,236.78350885000086,-9.094947017729282e-13,-3.841039041063811e-15,litellm_table,0.0,0.0,0.0,ok,0,0.0,0.0,
20260217_mini-v2.0.0_gpt-5-mini,2.0.0,2026-02-17,c7fbab454966,gpt-5-mini-2025-08-07,,inclusive,10054,10054,0,0,23.60060954999995,23.600609550000012,,-6.039613253960852e-14,-2.5590920612306238e-15,litellm_table,0.0,,,curated_row_missing_or_null,0,0.0,0.0,
20260217_mini-v2.0.0_kimi-k2-5-high,2.0.0,2026-02-17,c7fbab454966,moonshot/kimi-k2.5,,inclusive,24687,24687,0,24687,73.27687037200006,79.61468040000005,,-6.337810027999993,-0.0864912761124381,litellm_table,0.0,,,curated_row_missing_or_null,0,0.0,5.417280000000184,
20260217_mini-v2.0.0_minimax-2-5-high,2.0.0,2026-02-17,c7fbab454966,minimax/MiniMax-M2.5,,inclusive,30219,30219,0,30219,36.64499392200001,34.30702161000006,,2.3379723119999554,0.06380059216209452,litellm_table,0.0,,,curated_row_missing_or_null,0,0.0,2.5525967999999812,
20260219_mini-v2.0.0_gpt-5-2-codex,2.0.0,2026-02-19,26d27803eb48,gpt-5.2-2025-12-11,curated:gpt-5.2-2025-12-11,inclusive,17520,17520,0,0,,236.78350885000077,236.78350885000077,,,litellm_table,0.0,0.0,0.0,ok,0,0.0,0.0,20260217_mini-v2.0.0_gpt-5-2-high
20260226_mini-v2.0.0_gemini-3-pro-high,2.0.0,2026-02-26,f24a41898bba,gemini/gemini-3-pro-preview,curated:gemini-3-pro-preview,inclusive,25628,25628,0,25628,480.00992819999993,479.7247876000019,479.7247876000019,0.2851405999980443,0.0005940306298815516,litellm_table,1.8556446,0.0,0.0,ok,8,0.0038681440858696057,83.27293200000014,
20260901_mini-v2.4.2_gemini-3-5-flash,2.4.2,2026-09-01,d568bbe58d5d,,,inclusive,19514,0,19514,0,0.0,,,,,litellm_table,0.0,,,no_litellm_row_at_pin,0,,0.0,
