entry,tier,n_unresolved,n_resolved,mean_cost_unresolved,mean_cost_resolved,cost_ratio,calls_ratio,cost_per_call_ratio,mean_calls_unresolved,mean_calls_resolved
20250720_mini-v0.0.0-Llama-4-Maverick-17B-Instruct,A_dollar,395,105,0.3856,0.0432,8.9164,3.092,2.8837,56.0,18.1
20250803_mini-v1.0.0_qwen2-5-coder-32b-instruct,A_dollar,455,45,0.0738,0.0108,6.8604,3.0131,2.2768,51.3,17.0
20250807_mini-v1.7.0_gpt-5-nano,A_dollar,326,174,0.051,0.0139,3.6681,3.1252,1.1737,52.1,16.7
20251209_mini-v1.17.2_devstral-small-2512,B_chat,218,282,0.3887,0.1216,3.1967,1.7972,1.7787,115.8,64.5
20250802_mini-v1.0.0_qwen3-coder-480b-a35b-instruct,A_dollar,223,277,0.3827,0.1394,2.7445,1.7437,1.5739,84.8,48.7
20251124_mini-v1.16.0_gpt-5.1-codex,B_chat,170,330,1.0143,0.3697,2.7434,1.6829,1.6301,32.6,19.4
20251124_mini-v1.17.0_minimax-m2,B_chat,195,305,0.6549,0.2834,2.3111,1.4759,1.5658,92.3,62.5
20250807_mini-v1.7.0_kimi-k2-instruct,A_dollar,281,219,0.6998,0.3157,2.2167,1.38,1.6063,42.7,30.9
20251210_mini-v1.17.2_kimi-k2-thinking,B_chat,183,317,0.6661,0.3068,2.1708,1.4641,1.4827,58.6,40.0
20251120_mini-v1.15.0_gpt-5.1-2025-11-13,B_chat,170,330,0.4739,0.2198,2.1564,1.5676,1.3756,27.6,17.6
20250726_mini-v1.0.0_o4-mini-2025-04-16,A_dollar,275,225,0.2736,0.1322,2.0698,1.6049,1.2897,28.0,17.5
20250726_mini-v1.0.0_gemini-2.5-pro,A_dollar,232,268,0.3941,0.1968,2.0024,1.5639,1.2804,25.4,16.2
20260217_mini-v2.0.0_claude-4-6-opus,B_chat,122,378,0.8771,0.4464,1.9648,1.4897,1.3189,38.5,25.8
20260217_mini-v2.0.0_glm-5-high,B_chat,136,364,0.829,0.4243,1.9539,1.4914,1.3102,100.2,67.2
20250807_mini-v1.7.0_gpt-oss-120b,A_dollar,370,130,0.0652,0.034,1.9204,1.3286,1.4454,29.5,22.2
20250822_mini-v1.9.1_glm-4.5,A_dollar,229,271,0.4006,0.2098,1.9092,1.4497,1.317,48.4,33.4
20260217_mini-v2.0.0_minimax-2-5-high,B_chat,121,379,0.1141,0.0603,1.8943,1.4735,1.2856,79.9,54.2
20260217_mini-v2.0.0_claude-4-5-opus-high,B_chat,116,384,1.1614,0.6308,1.8411,1.4604,1.2607,43.4,29.7
20251211_mini-v1.17.2_gpt-5.2-2025-12-11-high,B_chat,141,359,0.7723,0.4212,1.8335,1.3399,1.3684,24.2,18.0
20250720_mini-v0.0.0-claude-3-7-sonnet-20250219,A_dollar,449,51,0.3718,0.2033,1.829,1.458,1.2545,35.8,24.6
20250807_mini-v1.7.0_gpt-5,A_dollar,175,325,0.3936,0.2194,1.7938,1.3535,1.3254,15.9,11.8
20251201_mini-v1.17.1_glm-4.6,B_chat,223,277,0.1268,0.0723,1.7533,1.3332,1.3152,57.3,43.0
20260217_mini-v2.0.0_kimi-k2-5-high,B_chat,146,354,0.2099,0.1204,1.7434,1.3539,1.2876,62.8,46.4
20250726_mini-v1.0.0_o3-2025-04-16,A_dollar,208,292,0.4429,0.2558,1.7314,1.4419,1.2008,30.1,20.9
20251211_mini-v1.17.2_gpt-5.2-2025-12-11,B_chat,155,345,0.3764,0.2217,1.6976,1.2704,1.3363,19.1,15.0
20260217_mini-v2.0.0_gpt-5-2-high,B_responses,136,364,0.6675,0.4011,1.664,1.3331,1.2482,42.8,32.1
20250807_mini-v1.7.0_gpt-5-mini,A_dollar,201,299,0.046,0.0284,1.6177,1.3733,1.178,17.3,12.6
20260217_mini-v2.0.0_claude-4-5-haiku-high,B_chat,167,333,0.441,0.2757,1.5991,1.3351,1.1978,79.4,59.5
20260217_mini-v2.0.0_deepseek-3-2-high,B_chat,150,350,0.601,0.3822,1.5726,1.2309,1.2775,101.9,82.8
20251124_mini-v1.16.0_claude-opus-4-5-20251101,B_chat,128,372,0.9835,0.631,1.5587,1.3793,1.1301,47.8,34.7
20250802_mini-v1.0.0_claude-4-opus-20250514,A_dollar,162,338,1.4859,0.9613,1.5458,1.3463,1.1482,37.6,27.9
20260217_mini-v2.0.0_gpt-5-mini,B_responses,219,281,0.0587,0.0383,1.5325,1.2986,1.1802,23.4,18.0
20260217_mini-v2.0.0_claude-4-5-sonnet-high,B_chat,143,357,0.8556,0.5787,1.4784,1.2787,1.1561,57.2,44.7
20251118_mini-v1.15.0_gemini-3-pro-preview-20251118,B_chat,129,371,0.6036,0.41,1.4723,1.2149,1.2118,46.4,38.2
20250726_mini-v1.0.0_claude-sonnet-4-20250514,A_dollar,176,324,0.466,0.3201,1.4559,1.288,1.1303,43.5,33.8
20251209_mini-v1.17.2_devstral-2512,B_chat,231,269,0.8011,0.5686,1.4089,1.0245,1.3752,76.1,74.2
20251201_mini-v1.17.1_deepseek-v3.2-reasoner,B_chat,200,300,0.0335,0.0244,1.3717,1.1958,1.1471,51.5,43.0
20250929_mini-v1.13.3_sonnet-4-5-20250929,B_chat,147,353,0.6874,0.5046,1.3622,1.188,1.1466,57.4,48.3
20260217_mini-v2.0.0_gemini-3-flash-high,B_chat,121,379,0.4054,0.3402,1.1918,1.1104,1.0733,60.7,54.7
