entry,reasoning_tokens_M,unresolved_share_reasoning,unresolved_share_cost,diff_pp,reasoning_per_attempt_unres,reasoning_per_attempt_res,rex_calls
20251201_mini-v1.17.1_deepseek-v3.2-reasoner,21.691,0.4798,0.4777,0.21,52033.0,37614.0,0
20251124_mini-v1.17.0_minimax-m2,15.087,0.7257,0.5964,12.93,56145.0,13569.0,1493
20251211_mini-v1.17.2_gpt-5.2-2025-12-11-high,10.505,0.4481,0.4186,2.95,33386.0,16149.0,0
20260217_mini-v2.0.0_deepseek-3-2-high,7.941,0.3979,0.4026,-0.47,21065.0,13661.0,6
20260217_mini-v2.0.0_gemini-3-flash-high,7.55,0.297,0.2756,2.13,18840.0,14005.0,0
20251120_mini-v1.15.0_gpt-5.1-2025-11-13,7.181,0.5553,0.5263,2.9,23454.0,9677.0,0
20260226_mini-v2.0.0_gemini-3-pro-high,6.939,1.0,1.0,0.0,14133.0,,0
20260217_mini-v2.0.0_gpt-5-2-high,4.871,0.3958,0.3834,1.24,14175.0,8086.0,0
20251211_mini-v1.17.2_gpt-5.2-2025-12-11,3.406,0.4829,0.4327,5.02,10611.0,5105.0,0
20260217_mini-v2.0.0_glm-5-high,2.369,0.3652,0.422,-5.68,6362.0,4132.0,817
20260217_mini-v2.0.0_claude-4-5-haiku-high,2.324,0.4488,0.4451,0.37,6245.0,3847.0,0
20260217_mini-v2.0.0_minimax-2-5-high,2.127,0.3762,0.3769,-0.07,6613.0,3501.0,14
20260217_mini-v2.0.0_kimi-k2-5-high,1.806,0.4333,0.4183,1.5,5359.0,2891.0,399
20260217_mini-v2.0.0_claude-4-5-sonnet-high,1.52,0.3667,0.3719,-0.52,3898.0,2697.0,0
20260217_mini-v2.0.0_claude-4-5-opus-high,1.193,0.3626,0.3574,0.52,3730.0,1981.0,0
20260217_mini-v2.0.0_gpt-5-mini,0.864,0.5399,0.5443,-0.44,2131.0,1415.0,0
20260217_mini-v2.0.0_claude-4-6-opus,0.56,0.4977,0.3882,10.95,2284.0,746.0,0
20251118_mini-v1.15.0_gemini-3-pro-preview-20251118,0.101,0.2347,0.3386,-10.39,184.0,208.0,20
