entry,total_unaccounted,n_instances_with_any,max_on_one_instance,mean_unacc_unresolved,mean_unacc_resolved,resrate_with_retries,resrate_without,corr_resolved_unacc
20260217_mini-v2.0.0_kimi-k2-5-high,902,248,27,2.438,1.542,0.7016,0.7143,-0.124
20260217_mini-v2.0.0_deepseek-3-2-high,570,281,12,1.14,1.14,0.694,0.7078,0.0
20260217_mini-v2.0.0_gpt-5-mini,117,112,4,0.256,0.217,0.5357,0.5696,-0.0417
20260217_mini-v2.0.0_glm-5-high,75,72,2,0.199,0.132,0.6528,0.7407,-0.0794
20260217_mini-v2.0.0_claude-4-5-haiku-high,18,18,1,0.03,0.039,0.7222,0.6639,0.023
20260217_mini-v2.0.0_gemini-3-flash-high,7,5,3,0.025,0.011,0.4,0.7647,-0.0388
20260217_mini-v2.0.0_claude-4-5-sonnet-high,7,6,2,0.035,0.006,0.3333,0.7186,-0.0994
20260217_mini-v2.0.0_minimax-2-5-high,6,6,1,0.008,0.013,0.8333,0.7571,0.0194
20260226_mini-v2.0.0_gemini-3-pro-high,4,4,1,0.008,,0.0,0.0,
20260217_mini-v2.0.0_gpt-5-2-high,3,3,1,0.007,0.005,0.6667,0.7284,-0.0107
20260217_mini-v2.0.0_claude-4-5-opus-high,2,1,2,0.0,0.005,1.0,0.7675,0.0246
20260901_mini-v2.4.2_gemini-3-5-flash,1,1,1,0.0,0.003,1.0,0.8136,0.0228
20251211_mini-v1.17.2_gpt-5.2-2025-12-11-high,0,0,0,0.0,0.0,,0.718,
20251118_mini-v1.15.0_gemini-3-pro-preview-20251118,0,0,0,0.0,0.0,,0.742,
20251211_mini-v1.17.2_gpt-5.2-2025-12-11,0,0,0,0.0,0.0,,0.69,
20251210_mini-v1.17.2_kimi-k2-thinking,0,0,0,0.0,0.0,,0.634,
20260217_mini-v2.0.0_claude-4-6-opus,0,0,0,0.0,0.0,,0.756,
20251209_mini-v1.17.2_devstral-small-2512,0,0,0,0.0,0.0,,0.564,
20251209_mini-v1.17.2_devstral-2512,0,0,0,0.0,0.0,,0.538,
20251201_mini-v1.17.1_glm-4.6,0,0,0,0.0,0.0,,0.554,
20251201_mini-v1.17.1_deepseek-v3.2-reasoner,0,0,0,0.0,0.0,,0.6,
20251124_mini-v1.17.0_minimax-m2,0,0,0,0.0,0.0,,0.61,
20251124_mini-v1.16.0_gpt-5.1-codex,0,0,0,0.0,0.0,,0.66,
20251124_mini-v1.16.0_claude-opus-4-5-20251101,0,0,0,0.0,0.0,,0.744,
20251120_mini-v1.15.0_gpt-5.1-2025-11-13,0,0,0,0.0,0.0,,0.66,
20250929_mini-v1.13.3_sonnet-4-5-20250929,0,0,0,0.0,0.0,,0.706,
